year,county_full,amount,name,state,lat,lon,change
2012,"ADAIR COUNTY, OK",250,Adair County,OK,35.898043,-94.651026,NA
2016,"ADAIR COUNTY, OK",500,Adair County,OK,35.898043,-94.651026,250
2020,"ADAIR COUNTY, OK",0,Adair County,OK,35.898043,-94.651026,-500
2022,"ADAIR COUNTY, OK",0,Adair County,OK,35.898043,-94.651026,0
2012,"ADAMS COUNTY, CO",2014.5,Adams County,CO,39.874325,-104.331872,NA
2016,"ADAMS COUNTY, CO",2210,Adams County,CO,39.874325,-104.331872,195.5
2020,"ADAMS COUNTY, CO",1355,Adams County,CO,39.874325,-104.331872,-855
2022,"ADAMS COUNTY, CO",2300,Adams County,CO,39.874325,-104.331872,945
2012,"ADAMS COUNTY, IA",0,Adams County,IA,41.021656,-94.696906,NA
2016,"ADAMS COUNTY, IA",385,Adams County,IA,41.021656,-94.696906,385
2020,"ADAMS COUNTY, IA",500,Adams County,IA,41.021656,-94.696906,115
2022,"ADAMS COUNTY, IA",50,Adams County,IA,41.021656,-94.696906,-450
2012,"ADAMS COUNTY, ID",50,Adams County,ID,44.877004,-116.461624,NA
2016,"ADAMS COUNTY, ID",50,Adams County,ID,44.877004,-116.461624,0
2020,"ADAMS COUNTY, ID",450,Adams County,ID,44.877004,-116.461624,400
2022,"ADAMS COUNTY, ID",400,Adams County,ID,44.877004,-116.461624,-50
2012,"ADAMS COUNTY, IL",245,Adams County,IL,39.986052,-91.194961,NA
2016,"ADAMS COUNTY, IL",50,Adams County,IL,39.986052,-91.194961,-195
2020,"ADAMS COUNTY, IL",1238,Adams County,IL,39.986052,-91.194961,1188
2022,"ADAMS COUNTY, IL",925,Adams County,IL,39.986052,-91.194961,-313
2012,"ADAMS COUNTY, IN",0,Adams County,IN,40.745733,-84.93613,NA
2016,"ADAMS COUNTY, IN",51,Adams County,IN,40.745733,-84.93613,51
2020,"ADAMS COUNTY, IN",0,Adams County,IN,40.745733,-84.93613,-51
2022,"ADAMS COUNTY, IN",0,Adams County,IN,40.745733,-84.93613,0
2012,"ADAMS COUNTY, MS",0,Adams County,MS,31.486224,-91.351797,NA
2016,"ADAMS COUNTY, MS",0,Adams County,MS,31.486224,-91.351797,0
2020,"ADAMS COUNTY, MS",276,Adams County,MS,31.486224,-91.351797,276
2022,"ADAMS COUNTY, MS",200,Adams County,MS,31.486224,-91.351797,-76
2012,"ADAMS COUNTY, ND",0,Adams County,ND,46.096815,-102.533198,NA
2016,"ADAMS COUNTY, ND",0,Adams County,ND,46.096815,-102.533198,0
2020,"ADAMS COUNTY, ND",0,Adams County,ND,46.096815,-102.533198,0
2022,"ADAMS COUNTY, ND",0,Adams County,ND,46.096815,-102.533198,0
2012,"ADAMS COUNTY, NE",0,Adams County,NE,40.520632,-98.500044,NA
2016,"ADAMS COUNTY, NE",250,Adams County,NE,40.520632,-98.500044,250
2020,"ADAMS COUNTY, NE",250,Adams County,NE,40.520632,-98.500044,0
2022,"ADAMS COUNTY, NE",750,Adams County,NE,40.520632,-98.500044,500
2012,"ADAMS COUNTY, OH",51,Adams County,OH,38.834468,-83.478082,NA
2016,"ADAMS COUNTY, OH",0,Adams County,OH,38.834468,-83.478082,-51
2020,"ADAMS COUNTY, OH",0,Adams County,OH,38.834468,-83.478082,0
2022,"ADAMS COUNTY, OH",0,Adams County,OH,38.834468,-83.478082,0
2012,"ADAMS COUNTY, PA",95,Adams County,PA,39.869471,-77.21773,NA
2016,"ADAMS COUNTY, PA",600,Adams County,PA,39.869471,-77.21773,505
2020,"ADAMS COUNTY, PA",3962,Adams County,PA,39.869471,-77.21773,3362
2022,"ADAMS COUNTY, PA",379.54,Adams County,PA,39.869471,-77.21773,-3582.46
2012,"ADAMS COUNTY, WA",0,Adams County,WA,47.011238,-118.512861,NA
2016,"ADAMS COUNTY, WA",0,Adams County,WA,47.011238,-118.512861,0
2020,"ADAMS COUNTY, WA",0,Adams County,WA,47.011238,-118.512861,0
2022,"ADAMS COUNTY, WA",0,Adams County,WA,47.011238,-118.512861,0
2012,"ADAMS COUNTY, WI",0,Adams County,WI,43.973757,-89.767228,NA
2016,"ADAMS COUNTY, WI",0,Adams County,WI,43.973757,-89.767228,0
2020,"ADAMS COUNTY, WI",450,Adams County,WI,43.973757,-89.767228,450
2022,"ADAMS COUNTY, WI",0,Adams County,WI,43.973757,-89.767228,-450
2012,"ADDISON COUNTY, VT",0,Addison County,VT,44.031248,-73.141581,NA
2016,"ADDISON COUNTY, VT",3000,Addison County,VT,44.031248,-73.141581,3000
2020,"ADDISON COUNTY, VT",0,Addison County,VT,44.031248,-73.141581,-3000
2022,"ADDISON COUNTY, VT",0,Addison County,VT,44.031248,-73.141581,0
2012,"ADJUNTAS MUNICIPIO, PR",0,Adjuntas Municipio,PR,18.181611,-66.758165,NA
2016,"ADJUNTAS MUNICIPIO, PR",0,Adjuntas Municipio,PR,18.181611,-66.758165,0
2020,"ADJUNTAS MUNICIPIO, PR",0,Adjuntas Municipio,PR,18.181611,-66.758165,0
2022,"ADJUNTAS MUNICIPIO, PR",0,Adjuntas Municipio,PR,18.181611,-66.758165,0
2012,"AGUADA MUNICIPIO, PR",0,Aguada Municipio,PR,18.375673,-67.185745,NA
2016,"AGUADA MUNICIPIO, PR",0,Aguada Municipio,PR,18.375673,-67.185745,0
2020,"AGUADA MUNICIPIO, PR",0,Aguada Municipio,PR,18.375673,-67.185745,0
2022,"AGUADA MUNICIPIO, PR",0,Aguada Municipio,PR,18.375673,-67.185745,0
2012,"AGUADILLA MUNICIPIO, PR",0,Aguadilla Municipio,PR,18.480191,-67.143762,NA
2016,"AGUADILLA MUNICIPIO, PR",0,Aguadilla Municipio,PR,18.480191,-67.143762,0
2020,"AGUADILLA MUNICIPIO, PR",0,Aguadilla Municipio,PR,18.480191,-67.143762,0
2022,"AGUADILLA MUNICIPIO, PR",0,Aguadilla Municipio,PR,18.480191,-67.143762,0
2012,"AGUAS BUENAS MUNICIPIO, PR",0,Aguas Buenas Municipio,PR,18.256524,-66.128496,NA
2016,"AGUAS BUENAS MUNICIPIO, PR",0,Aguas Buenas Municipio,PR,18.256524,-66.128496,0
2020,"AGUAS BUENAS MUNICIPIO, PR",0,Aguas Buenas Municipio,PR,18.256524,-66.128496,0
2022,"AGUAS BUENAS MUNICIPIO, PR",0,Aguas Buenas Municipio,PR,18.256524,-66.128496,0
2012,"AIBONITO MUNICIPIO, PR",0,Aibonito Municipio,PR,18.130723,-66.26446,NA
2016,"AIBONITO MUNICIPIO, PR",0,Aibonito Municipio,PR,18.130723,-66.26446,0
2020,"AIBONITO MUNICIPIO, PR",0,Aibonito Municipio,PR,18.130723,-66.26446,0
2022,"AIBONITO MUNICIPIO, PR",0,Aibonito Municipio,PR,18.130723,-66.26446,0
2012,"AIKEN COUNTY, SC",430,Aiken County,SC,33.550013,-81.632983,NA
2016,"AIKEN COUNTY, SC",100,Aiken County,SC,33.550013,-81.632983,-330
2020,"AIKEN COUNTY, SC",250,Aiken County,SC,33.550013,-81.632983,150
2022,"AIKEN COUNTY, SC",110,Aiken County,SC,33.550013,-81.632983,-140
2012,"AITKIN COUNTY, MN",0,Aitkin County,MN,46.602446,-93.41976,NA
2016,"AITKIN COUNTY, MN",1490,Aitkin County,MN,46.602446,-93.41976,1490
2020,"AITKIN COUNTY, MN",110,Aitkin County,MN,46.602446,-93.41976,-1380
2022,"AITKIN COUNTY, MN",427,Aitkin County,MN,46.602446,-93.41976,317
2012,"ALACHUA COUNTY, FL",534,Alachua County,FL,29.67574,-82.357221,NA
2016,"ALACHUA COUNTY, FL",767,Alachua County,FL,29.67574,-82.357221,233
2020,"ALACHUA COUNTY, FL",1500,Alachua County,FL,29.67574,-82.357221,733
2022,"ALACHUA COUNTY, FL",50,Alachua County,FL,29.67574,-82.357221,-1450
2012,"ALAMANCE COUNTY, NC",0,Alamance County,NC,36.043954,-79.400573,NA
2016,"ALAMANCE COUNTY, NC",580,Alamance County,NC,36.043954,-79.400573,580
2020,"ALAMANCE COUNTY, NC",886,Alamance County,NC,36.043954,-79.400573,306
2022,"ALAMANCE COUNTY, NC",100,Alamance County,NC,36.043954,-79.400573,-786
2012,"ALAMEDA COUNTY, CA",4162.17,Alameda County,CA,37.647139,-121.912488,NA
2016,"ALAMEDA COUNTY, CA",8689,Alameda County,CA,37.647139,-121.912488,4526.83
2020,"ALAMEDA COUNTY, CA",2643.6,Alameda County,CA,37.647139,-121.912488,-6045.4
2022,"ALAMEDA COUNTY, CA",4395,Alameda County,CA,37.647139,-121.912488,1751.4
2012,"ALAMOSA COUNTY, CO",400,Alamosa County,CO,37.568442,-105.788041,NA
2016,"ALAMOSA COUNTY, CO",400,Alamosa County,CO,37.568442,-105.788041,0
2020,"ALAMOSA COUNTY, CO",0,Alamosa County,CO,37.568442,-105.788041,-400
2022,"ALAMOSA COUNTY, CO",755,Alamosa County,CO,37.568442,-105.788041,755
2012,"ALBANY COUNTY, NY",155,Albany County,NY,42.58824,-73.97401,NA
2016,"ALBANY COUNTY, NY",4263,Albany County,NY,42.58824,-73.97401,4108
2020,"ALBANY COUNTY, NY",1650,Albany County,NY,42.58824,-73.97401,-2613
2022,"ALBANY COUNTY, NY",950,Albany County,NY,42.58824,-73.97401,-700
2012,"ALBANY COUNTY, WY",100,Albany County,WY,41.665514,-105.721883,NA
2016,"ALBANY COUNTY, WY",900,Albany County,WY,41.665514,-105.721883,800
2020,"ALBANY COUNTY, WY",1709,Albany County,WY,41.665514,-105.721883,809
2022,"ALBANY COUNTY, WY",450,Albany County,WY,41.665514,-105.721883,-1259
2012,"ALBEMARLE COUNTY, VA",0,Albemarle County,VA,38.024184,-78.553506,NA
2016,"ALBEMARLE COUNTY, VA",1055,Albemarle County,VA,38.024184,-78.553506,1055
2020,"ALBEMARLE COUNTY, VA",0,Albemarle County,VA,38.024184,-78.553506,-1055
2022,"ALBEMARLE COUNTY, VA",900,Albemarle County,VA,38.024184,-78.553506,900
2012,"ALCONA COUNTY, MI",290,Alcona County,MI,44.657509,-83.29458,NA
2016,"ALCONA COUNTY, MI",0,Alcona County,MI,44.657509,-83.29458,-290
2020,"ALCONA COUNTY, MI",0,Alcona County,MI,44.657509,-83.29458,0
2022,"ALCONA COUNTY, MI",200,Alcona County,MI,44.657509,-83.29458,200
2012,"ALCORN COUNTY, MS",0,Alcorn County,MS,34.886569,-88.581109,NA
2016,"ALCORN COUNTY, MS",250,Alcorn County,MS,34.886569,-88.581109,250
2020,"ALCORN COUNTY, MS",0,Alcorn County,MS,34.886569,-88.581109,-250
2022,"ALCORN COUNTY, MS",0,Alcorn County,MS,34.886569,-88.581109,0
2012,"ALEUTIANS EAST BOROUGH, AK",0,Aleutians East Borough,AK,55.245044,-161.997477,NA
2016,"ALEUTIANS EAST BOROUGH, AK",0,Aleutians East Borough,AK,55.245044,-161.997477,0
2020,"ALEUTIANS EAST BOROUGH, AK",0,Aleutians East Borough,AK,55.245044,-161.997477,0
2022,"ALEUTIANS EAST BOROUGH, AK",0,Aleutians East Borough,AK,55.245044,-161.997477,0
2012,"ALEUTIANS WEST CENSUS AREA, AK",0,Aleutians West Census Area,AK,51.959447,178.338813,NA
2016,"ALEUTIANS WEST CENSUS AREA, AK",950,Aleutians West Census Area,AK,51.959447,178.338813,950
2020,"ALEUTIANS WEST CENSUS AREA, AK",0,Aleutians West Census Area,AK,51.959447,178.338813,-950
2022,"ALEUTIANS WEST CENSUS AREA, AK",0,Aleutians West Census Area,AK,51.959447,178.338813,0
2012,"ALEXANDER COUNTY, IL",0,Alexander County,IL,37.183658,-89.349516,NA
2016,"ALEXANDER COUNTY, IL",0,Alexander County,IL,37.183658,-89.349516,0
2020,"ALEXANDER COUNTY, IL",0,Alexander County,IL,37.183658,-89.349516,0
2022,"ALEXANDER COUNTY, IL",0,Alexander County,IL,37.183658,-89.349516,0
2012,"ALEXANDER COUNTY, NC",0,Alexander County,NC,35.920951,-81.177467,NA
2016,"ALEXANDER COUNTY, NC",52,Alexander County,NC,35.920951,-81.177467,52
2020,"ALEXANDER COUNTY, NC",491,Alexander County,NC,35.920951,-81.177467,439
2022,"ALEXANDER COUNTY, NC",250,Alexander County,NC,35.920951,-81.177467,-241
2012,"ALEXANDRIA CITY, VA",250,Alexandria city,VA,38.819251,-77.08367,NA
2016,"ALEXANDRIA CITY, VA",3650,Alexandria city,VA,38.819251,-77.08367,3400
2020,"ALEXANDRIA CITY, VA",555,Alexandria city,VA,38.819251,-77.08367,-3095
2022,"ALEXANDRIA CITY, VA",600,Alexandria city,VA,38.819251,-77.08367,45
2012,"ALFALFA COUNTY, OK",0,Alfalfa County,OK,36.729703,-98.323445,NA
2016,"ALFALFA COUNTY, OK",92,Alfalfa County,OK,36.729703,-98.323445,92
2020,"ALFALFA COUNTY, OK",0,Alfalfa County,OK,36.729703,-98.323445,-92
2022,"ALFALFA COUNTY, OK",0,Alfalfa County,OK,36.729703,-98.323445,0
2012,"ALGER COUNTY, MI",0,Alger County,MI,46.521736,-86.657119,NA
2016,"ALGER COUNTY, MI",20,Alger County,MI,46.521736,-86.657119,20
2020,"ALGER COUNTY, MI",200,Alger County,MI,46.521736,-86.657119,180
2022,"ALGER COUNTY, MI",0,Alger County,MI,46.521736,-86.657119,-200
2012,"ALLAMAKEE COUNTY, IA",0,Allamakee County,IA,43.274964,-91.382751,NA
2016,"ALLAMAKEE COUNTY, IA",0,Allamakee County,IA,43.274964,-91.382751,0
2020,"ALLAMAKEE COUNTY, IA",0,Allamakee County,IA,43.274964,-91.382751,0
2022,"ALLAMAKEE COUNTY, IA",0,Allamakee County,IA,43.274964,-91.382751,0
2012,"ALLEGAN COUNTY, MI",225,Allegan County,MI,42.421251,-86.261403,NA
2016,"ALLEGAN COUNTY, MI",250,Allegan County,MI,42.421251,-86.261403,25
2020,"ALLEGAN COUNTY, MI",730,Allegan County,MI,42.421251,-86.261403,480
2022,"ALLEGAN COUNTY, MI",588.54,Allegan County,MI,42.421251,-86.261403,-141.46000000000004
2012,"ALLEGANY COUNTY, MD",0,Allegany County,MD,39.612313,-78.703104,NA
2016,"ALLEGANY COUNTY, MD",393,Allegany County,MD,39.612313,-78.703104,393
2020,"ALLEGANY COUNTY, MD",520,Allegany County,MD,39.612313,-78.703104,127
2022,"ALLEGANY COUNTY, MD",0,Allegany County,MD,39.612313,-78.703104,-520
2012,"ALLEGANY COUNTY, NY",30,Allegany County,NY,42.247853,-78.026153,NA
2016,"ALLEGANY COUNTY, NY",100,Allegany County,NY,42.247853,-78.026153,70
2020,"ALLEGANY COUNTY, NY",133,Allegany County,NY,42.247853,-78.026153,33
2022,"ALLEGANY COUNTY, NY",1400,Allegany County,NY,42.247853,-78.026153,1267
2012,"ALLEGHANY COUNTY, NC",100,Alleghany County,NC,36.489356,-81.132299,NA
2016,"ALLEGHANY COUNTY, NC",500,Alleghany County,NC,36.489356,-81.132299,400
2020,"ALLEGHANY COUNTY, NC",1500,Alleghany County,NC,36.489356,-81.132299,1000
2022,"ALLEGHANY COUNTY, NC",0,Alleghany County,NC,36.489356,-81.132299,-1500
2012,"ALLEGHANY COUNTY, VA",0,Alleghany County,VA,37.787905,-80.008669,NA
2016,"ALLEGHANY COUNTY, VA",330,Alleghany County,VA,37.787905,-80.008669,330
2020,"ALLEGHANY COUNTY, VA",0,Alleghany County,VA,37.787905,-80.008669,-330
2022,"ALLEGHANY COUNTY, VA",25,Alleghany County,VA,37.787905,-80.008669,25
2012,"ALLEGHENY COUNTY, PA",3826,Allegheny County,PA,40.469757,-79.980451,NA
2016,"ALLEGHENY COUNTY, PA",2617,Allegheny County,PA,40.469757,-79.980451,-1209
2020,"ALLEGHENY COUNTY, PA",6951,Allegheny County,PA,40.469757,-79.980451,4334
2022,"ALLEGHENY COUNTY, PA",5710,Allegheny County,PA,40.469757,-79.980451,-1241
2012,"ALLEN COUNTY, IN",462,Allen County,IN,41.091909,-85.071791,NA
2016,"ALLEN COUNTY, IN",3030,Allen County,IN,41.091909,-85.071791,2568
2020,"ALLEN COUNTY, IN",1463,Allen County,IN,41.091909,-85.071791,-1567
2022,"ALLEN COUNTY, IN",711,Allen County,IN,41.091909,-85.071791,-752
2012,"ALLEN COUNTY, KS",0,Allen County,KS,37.884228,-95.300945,NA
2016,"ALLEN COUNTY, KS",73,Allen County,KS,37.884228,-95.300945,73
2020,"ALLEN COUNTY, KS",0,Allen County,KS,37.884228,-95.300945,-73
2022,"ALLEN COUNTY, KS",0,Allen County,KS,37.884228,-95.300945,0
2012,"ALLEN COUNTY, KY",0,Allen County,KY,36.75077,-86.192458,NA
2016,"ALLEN COUNTY, KY",100,Allen County,KY,36.75077,-86.192458,100
2020,"ALLEN COUNTY, KY",850,Allen County,KY,36.75077,-86.192458,750
2022,"ALLEN COUNTY, KY",0,Allen County,KY,36.75077,-86.192458,-850
2012,"ALLEN COUNTY, OH",1312,Allen County,OH,40.771627,-84.106103,NA
2016,"ALLEN COUNTY, OH",1724,Allen County,OH,40.771627,-84.106103,412
2020,"ALLEN COUNTY, OH",500,Allen County,OH,40.771627,-84.106103,-1224
2022,"ALLEN COUNTY, OH",0,Allen County,OH,40.771627,-84.106103,-500
2012,"ALLEN PARISH, LA",0,Allen Parish,LA,30.652744,-92.819605,NA
2016,"ALLEN PARISH, LA",0,Allen Parish,LA,30.652744,-92.819605,0
2020,"ALLEN PARISH, LA",0,Allen Parish,LA,30.652744,-92.819605,0
2022,"ALLEN PARISH, LA",0,Allen Parish,LA,30.652744,-92.819605,0
2012,"ALLENDALE COUNTY, SC",100,Allendale County,SC,32.979757,-81.363265,NA
2016,"ALLENDALE COUNTY, SC",375,Allendale County,SC,32.979757,-81.363265,275
2020,"ALLENDALE COUNTY, SC",750,Allendale County,SC,32.979757,-81.363265,375
2022,"ALLENDALE COUNTY, SC",0,Allendale County,SC,32.979757,-81.363265,-750
2012,"ALPENA COUNTY, MI",1431,Alpena County,MI,44.894954,-83.426574,NA
2016,"ALPENA COUNTY, MI",1605,Alpena County,MI,44.894954,-83.426574,174
2020,"ALPENA COUNTY, MI",270,Alpena County,MI,44.894954,-83.426574,-1335
2022,"ALPENA COUNTY, MI",137,Alpena County,MI,44.894954,-83.426574,-133
2012,"ALPINE COUNTY, CA",0,Alpine County,CA,38.621783,-119.798352,NA
2016,"ALPINE COUNTY, CA",0,Alpine County,CA,38.621783,-119.798352,0
2020,"ALPINE COUNTY, CA",0,Alpine County,CA,38.621783,-119.798352,0
2022,"ALPINE COUNTY, CA",0,Alpine County,CA,38.621783,-119.798352,0
2012,"AMADOR COUNTY, CA",100,Amador County,CA,38.443549,-120.653858,NA
2016,"AMADOR COUNTY, CA",428,Amador County,CA,38.443549,-120.653858,328
2020,"AMADOR COUNTY, CA",155,Amador County,CA,38.443549,-120.653858,-273
2022,"AMADOR COUNTY, CA",0,Amador County,CA,38.443549,-120.653858,-155
2012,"AMELIA COUNTY, VA",0,Amelia County,VA,37.331927,-77.977462,NA
2016,"AMELIA COUNTY, VA",0,Amelia County,VA,37.331927,-77.977462,0
2020,"AMELIA COUNTY, VA",0,Amelia County,VA,37.331927,-77.977462,0
2022,"AMELIA COUNTY, VA",100,Amelia County,VA,37.331927,-77.977462,100
2012,"AMHERST COUNTY, VA",0,Amherst County,VA,37.629304,-79.154667,NA
2016,"AMHERST COUNTY, VA",0,Amherst County,VA,37.629304,-79.154667,0
2020,"AMHERST COUNTY, VA",467,Amherst County,VA,37.629304,-79.154667,467
2022,"AMHERST COUNTY, VA",0,Amherst County,VA,37.629304,-79.154667,-467
2012,"AMITE COUNTY, MS",0,Amite County,MS,31.203933,-90.795542,NA
2016,"AMITE COUNTY, MS",0,Amite County,MS,31.203933,-90.795542,0
2020,"AMITE COUNTY, MS",0,Amite County,MS,31.203933,-90.795542,0
2022,"AMITE COUNTY, MS",0,Amite County,MS,31.203933,-90.795542,0
2012,"AÑASCO MUNICIPIO, PR",0,Añasco Municipio,PR,18.286905,-67.131282,NA
2016,"AÑASCO MUNICIPIO, PR",0,Añasco Municipio,PR,18.286905,-67.131282,0
2020,"AÑASCO MUNICIPIO, PR",0,Añasco Municipio,PR,18.286905,-67.131282,0
2022,"AÑASCO MUNICIPIO, PR",0,Añasco Municipio,PR,18.286905,-67.131282,0
2012,"ANCHORAGE MUNICIPALITY, AK",1972,Anchorage Municipality,AK,61.17425,-149.284329,NA
2016,"ANCHORAGE MUNICIPALITY, AK",4060.54,Anchorage Municipality,AK,61.17425,-149.284329,2088.54
2020,"ANCHORAGE MUNICIPALITY, AK",4140,Anchorage Municipality,AK,61.17425,-149.284329,79.46000000000004
2022,"ANCHORAGE MUNICIPALITY, AK",1940,Anchorage Municipality,AK,61.17425,-149.284329,-2200
2012,"ANDERSON COUNTY, KS",0,Anderson County,KS,38.215114,-95.292046,NA
2016,"ANDERSON COUNTY, KS",0,Anderson County,KS,38.215114,-95.292046,0
2020,"ANDERSON COUNTY, KS",0,Anderson County,KS,38.215114,-95.292046,0
2022,"ANDERSON COUNTY, KS",0,Anderson County,KS,38.215114,-95.292046,0
2012,"ANDERSON COUNTY, KY",0,Anderson County,KY,38.005396,-84.986417,NA
2016,"ANDERSON COUNTY, KY",500,Anderson County,KY,38.005396,-84.986417,500
2020,"ANDERSON COUNTY, KY",2485,Anderson County,KY,38.005396,-84.986417,1985
2022,"ANDERSON COUNTY, KY",90,Anderson County,KY,38.005396,-84.986417,-2395
2012,"ANDERSON COUNTY, SC",993,Anderson County,SC,34.521235,-82.638603,NA
2016,"ANDERSON COUNTY, SC",517.73,Anderson County,SC,34.521235,-82.638603,-475.27
2020,"ANDERSON COUNTY, SC",2033,Anderson County,SC,34.521235,-82.638603,1515.27
2022,"ANDERSON COUNTY, SC",25,Anderson County,SC,34.521235,-82.638603,-2008
2012,"ANDERSON COUNTY, TN",100,Anderson County,TN,36.116731,-84.195418,NA
2016,"ANDERSON COUNTY, TN",452,Anderson County,TN,36.116731,-84.195418,352
2020,"ANDERSON COUNTY, TN",0,Anderson County,TN,36.116731,-84.195418,-452
2022,"ANDERSON COUNTY, TN",90,Anderson County,TN,36.116731,-84.195418,90
2012,"ANDERSON COUNTY, TX",1295,Anderson County,TX,31.841261,-95.661727,NA
2016,"ANDERSON COUNTY, TX",200,Anderson County,TX,31.841261,-95.661727,-1095
2020,"ANDERSON COUNTY, TX",50,Anderson County,TX,31.841261,-95.661727,-150
2022,"ANDERSON COUNTY, TX",0,Anderson County,TX,31.841261,-95.661727,-50
2012,"ANDREW COUNTY, MO",0,Andrew County,MO,39.988863,-94.803551,NA
2016,"ANDREW COUNTY, MO",0,Andrew County,MO,39.988863,-94.803551,0
2020,"ANDREW COUNTY, MO",450,Andrew County,MO,39.988863,-94.803551,450
2022,"ANDREW COUNTY, MO",0,Andrew County,MO,39.988863,-94.803551,-450
2012,"ANDREWS COUNTY, TX",300,Andrews County,TX,32.312258,-102.640206,NA
2016,"ANDREWS COUNTY, TX",555,Andrews County,TX,32.312258,-102.640206,255
2020,"ANDREWS COUNTY, TX",0,Andrews County,TX,32.312258,-102.640206,-555
2022,"ANDREWS COUNTY, TX",0,Andrews County,TX,32.312258,-102.640206,0
2012,"ANDROSCOGGIN COUNTY, ME",225,Androscoggin County,ME,44.167681,-70.207435,NA
2016,"ANDROSCOGGIN COUNTY, ME",0,Androscoggin County,ME,44.167681,-70.207435,-225
2020,"ANDROSCOGGIN COUNTY, ME",489,Androscoggin County,ME,44.167681,-70.207435,489
2022,"ANDROSCOGGIN COUNTY, ME",361,Androscoggin County,ME,44.167681,-70.207435,-128
2012,"ANGELINA COUNTY, TX",200,Angelina County,TX,31.251896,-94.611134,NA
2016,"ANGELINA COUNTY, TX",200,Angelina County,TX,31.251896,-94.611134,0
2020,"ANGELINA COUNTY, TX",50,Angelina County,TX,31.251896,-94.611134,-150
2022,"ANGELINA COUNTY, TX",0,Angelina County,TX,31.251896,-94.611134,-50
2012,"ANNE ARUNDEL COUNTY, MD",1188,Anne Arundel County,MD,38.991617,-76.560894,NA
2016,"ANNE ARUNDEL COUNTY, MD",5280,Anne Arundel County,MD,38.991617,-76.560894,4092
2020,"ANNE ARUNDEL COUNTY, MD",6221,Anne Arundel County,MD,38.991617,-76.560894,941
2022,"ANNE ARUNDEL COUNTY, MD",2522,Anne Arundel County,MD,38.991617,-76.560894,-3699
2012,"ANOKA COUNTY, MN",597,Anoka County,MN,45.27411,-93.242723,NA
2016,"ANOKA COUNTY, MN",1150,Anoka County,MN,45.27411,-93.242723,553
2020,"ANOKA COUNTY, MN",320,Anoka County,MN,45.27411,-93.242723,-830
2022,"ANOKA COUNTY, MN",2364,Anoka County,MN,45.27411,-93.242723,2044
2012,"ANSON COUNTY, NC",0,Anson County,NC,34.974972,-80.109763,NA
2016,"ANSON COUNTY, NC",0,Anson County,NC,34.974972,-80.109763,0
2020,"ANSON COUNTY, NC",0,Anson County,NC,34.974972,-80.109763,0
2022,"ANSON COUNTY, NC",0,Anson County,NC,34.974972,-80.109763,0
2012,"ANTELOPE COUNTY, NE",38,Antelope County,NE,42.183225,-98.058037,NA
2016,"ANTELOPE COUNTY, NE",27,Antelope County,NE,42.183225,-98.058037,-11
2020,"ANTELOPE COUNTY, NE",50,Antelope County,NE,42.183225,-98.058037,23
2022,"ANTELOPE COUNTY, NE",250,Antelope County,NE,42.183225,-98.058037,200
